Genotype,SnakeMuscle,Baseline_force,Fmax,Time_to_Fmax,Time_to_0.1Fmax,Time_to_0.5relax,Contraction_Duration_10_to_50,dFdtmax,dFdtmin,Time_to_dFdtmax,Time_to_dFdtmin,Contraction_Duration_max_to_min,MAMU,SVLmm,MuscleMass,BodyMass,Days_in_Captivity,Sex
WTs,MTJH394-M1,1.591177333,0.488834859,25.9,4.7,48.1,43.4,35.15899128,-13.98690924,6.3,37.8,31.5,,,,,,
WTs,MTJH399-M1,1.563094322,0.131066184,27.6,6.7,54.2,47.5,9.910435453,-3.107764881,10.5,40.7,30.2,,,,,,
WTs,MTJH402-M3,1.470533687,0.279851407,34.3,8.5,54.8,46.3,14.55368259,-8.689349381,12.4,47.6,35.2,,,,,,
WTs,MTJH430-M1,2.775533639,0.080366665,24.5,7.1,45.5,38.4,7.038595038,-2.355930568,9.6,36.7,27.1,,,,,,
WTs,REdC10-M1,2.61294426,0.476579106,44,13.9,65.7,51.8,35.57406172,-30.48103991,29.7,60.9,31.2,,,,,,
WTs,REdC4-M1,0.500568681,0.139150277,39.5,13.2,55.1,41.9,6.604569645,-6.647202192,24.4,56,31.6,,,,,,
WTs,Wills06-M1,0.236410842,0.222762597,41.9,13.5,74.5,61,9.703384078,-4.530468495,24,57.4,33.4,,,,,,
WTs,CRF2417-M2,0.668840172,0.346204285,29.4,6.5,55.3,48.8,21.61216416,-8.103077681,9.8,43.5,33.7,,,,,,
WTs,CRF2458C-M1,0.08549712,0.337335689,29.6,8.3,45,36.7,20.72522673,-13.15659594,15.5,41.8,26.3,,,,,,
WTs,CRF2458D-M1,0.08549712,0.926939806,29.6,8.3,45,36.7,56.94931866,-36.15203753,15.5,41.8,26.3,,,,,,
WTs,CRF2459-M1,0.490815535,0.090222081,18.7,4.9,37.4,32.5,15.13190484,-8.36782592,6.4,119.3,112.9,,,,,,
WTs,CRF2462C-M1,0.065760083,0.678164188,40,11.1,54.7,43.6,35.1612433,-28.31965726,25.3,56.1,30.8,,,,,,
WTs,CRF2519E-M1,0.402613302,0.272819739,21.3,5.4,35.8,30.4,19.99142161,-11.69637129,11.5,33.9,22.4,,,,,,
WTs,CRF2523D-M1,0.299805101,0.75946156,29.1,9,46.5,37.5,49.7266682,-28.59237876,15.1,40.3,25.2,,,,,,
WTs,CRF2523G-M1,0.384951431,0.49958623,22.4,7,36.4,29.4,40.96898907,-21.09598476,12.4,30.5,18.1,,,,,,
WTs,CRF3041-M1,0.359512492,0.112649972,29.1,1.2,35.9,34.7,19.46975959,-18.64667171,18.9,43.5,24.6,,,,,,
WTs,CRF3215-M1,1.333588124,0.898965142,22,4,37.6,33.6,85.51017696,-47.63175249,5.5,28.7,23.2,,,,,,
WTs,CRF3311-M1,1.417902291,0.415667354,30.9,4.5,52.8,48.3,24.66087959,-11.87885167,5.2,43.7,38.5,,,,,,
WTs,EJE190-M1,0.278801403,0.137624016,25.4,0.4,34.4,34,8.002703166,-6.036934475,14.5,36.6,22.1,,,,,,
WTs,EJE191-M1,0.172010229,0.163396813,32.1,0.7,44.7,44,8.151482085,-6.8207567,18.8,45.2,26.4,,,,,,
WTs,MTJH381-M3,2.54509211,0.455404946,51.1,7.7,99.1,91.4,16.71505798,-6.811178756,8.7,76.1,67.4,,,,,,
WTs,MTJH384-M1,1.769344146,0.460914717,31.3,7.3,71.8,64.5,31.36312415,-7.379702317,7.2,54,46.8,,,,,,
WTs,MTJH390-M2,1.514512805,0.277326226,35.3,8.2,58.4,50.2,15.08954023,-7.446095131,11.1,47.6,36.5,,,,,,
WTs,MTJH394-M1,1.589598835,0.489364988,25.9,4.7,48.2,43.5,35.15899128,-13.98690924,6.3,37.8,31.5,,,,,,
WTs,MTJH399-M1,1.55775606,0.132275202,27.6,6.3,54.2,47.9,9.910435453,-3.107764881,10.5,40.7,30.2,,,,,,
