Genotype,I_max_pA,I_density_max_pA_pF,V_at_I_max_mV,G_max_V-Eeq_pA/mV,G_max_V-Erev_pA/mV,Erev_mV,GpApF_max_V-Eeq_pA/mV,GpApF_max_V-Erev_pA/mV,G_Na_by_linear_slope_pA/mV
EPN,-444.2023926,-84.27642422,10,-7.658661941,-8.394091599,62.91845905,-1.453041797,-1.592571396,19.95816719
EPN,-405.8360901,-102.5706402,10,-6.997173967,-5.726750446,80.86673218,-1.768459315,-1.447373642,14.32485336
EPN,-245.0561218,-44.00147461,20,-5.105335871,-5.347588614,65.82553736,-0.916697388,-0.960195497,20.42929956
EPN,-636.0645142,-132.7057889,20,-13.25134405,-10.70085983,79.44050519,-2.764703936,-2.232581781,15.72569815
EPN,-134.9506226,-27.26006266,10,-2.326734872,-2.341190544,67.64187922,-0.47000108,-0.47292113,17.44155283
EPN,-163.6159668,-15.05045288,10,-2.820964945,-2.824073977,67.93614761,-0.259490567,-0.259776556,18.85246527
EPN,-166.6717386,-22.31817958,10,-2.873650666,-2.709139165,71.52202913,-0.3847962,-0.362767287,17.47928131
LVNV,-1253.596085,-62.84907509,10,-21.61372561,-20.91293413,69.94357738,-1.083604743,-1.048470543,18.31925337
LVNV,-562.9125977,-87.64956952,10,-9.705389615,-9.876290287,66.9963601,-1.511199474,-1.537809947,17.555275
LVNV,-430.2815857,-116.554063,20,-8.964199702,-7.645895774,76.27615107,-2.428209645,-2.071109355,15.54598788
LVNV,-524.8557739,-133.3908083,0,-7.718467264,-3.006675187,62.21665585,-1.961629534,-0.764139128,17.68878107
LVNV,-445.9177246,-123.0588232,10,-7.688236631,-9.07773676,59.12212552,-2.121703848,-2.505160799,22.52470657
LVNV,-465.9184672,-101.8742791,10,-8.033077021,-9.174455471,60.78431834,-1.756453087,-2.006018441,20.20287848
LVNV,-767.742688,-127.3114574,0,-11.29033365,-12.18695325,62.99709798,-1.872227315,-2.020909875,18.42517848
LVNV,-344.9388631,-52.63829888,10,-5.947221778,-5.818729878,69.28078298,-0.907556877,-0.887948779,18.46566902
LVNV,-299.9944458,-79.40702807,10,-5.172318031,-4.180257706,81.76458174,-1.369086691,-1.106493289,15.26656056
LVNV,-284.0145264,-13.29625072,10,-4.896802179,-4.923383617,67.68685694,-0.229245702,-0.230490123,17.07397578
LVNV,-308.2775879,-59.7683562,20,-6.422449748,-5.476123705,76.29485462,-1.245174087,-1.061701937,17.26579361
LVNV,-324.9600366,-42.65168659,10,-5.602759251,-5.129415091,73.35225962,-0.735373907,-0.673246493,15.68841597
LVNV,-258.5307007,-85.8850613,10,-4.457425874,-5.074945068,60.94256139,-1.480776919,-1.685919572,19.62995132
LVNV,-124.7262115,-27.32033962,10,-2.150451923,-2.617723313,57.64682765,-0.471040338,-0.573392626,22.02703707
LVNV,-159.938343,-60.04581853,10,-2.757557639,-3.509220554,55.57660044,-1.035272733,-1.317470324,24.60049375
LVNV,-106.2160956,-24.42020094,10,-1.831311993,-1.768096085,70.07371234,-0.421037947,-0.406503943,16.98146617
LVNV,-197.9255829,-44.73861566,30,-5.208567971,-2.333032594,114.8361842,-1.177331991,-0.527352993,10.6367426
LVNV,-144.7057247,-91.64724557,10,-2.494926288,-2.224892967,75.03940947,-1.580124924,-1.409103285,16.69765817
